dataset,country,crop_ua,crop_ua_se,crop_pa,crop_pa_se,oa,oa_se,crop_f1_score,crop_f1_score_se,non_crop_ua,non_crop_pa,non_crop_ua_se,non_crop_pa_se,crop_area_proportion,crop_area_proportion_se
copernicus,Kenya,0.4193982159705157,0.061481379857488624,0.6947109134913036,0.07308780328069574,0.891327305208643,0.015504986274881363,0.5230376630595325,0.194876879709768,0.9694791702829476,0.9097731873288344,0.018110374385382853,0.018110374385382853,0.08576995765480547,0.01279175878100715
glad,Kenya,0.5752242655771026,0.07382254566673885,0.6304786043338757,0.07825296814587064,0.9283735230573414,0.012750900726167847,0.6015853510688042,0.22775054418569518,0.9650175043000172,0.9563210126180116,0.015496641120727954,0.015496641120727954,0.08576995765480547,0.01279175878100715
gflfc30,Kenya,0.3727700543657671,0.07434209257984725,0.3759605885067815,0.07373413184093977,0.8922182282289348,0.014893536423243398,0.3743585235923488,0.22211558290103747,0.9414076936191761,0.9406517666678519,0.016347622848591984,0.016347622848591984,0.08576995765480547,0.01279175878100715
dynamicworld,Kenya,0.2488319766097243,0.05195980910873139,0.46711537461586083,0.07749337386451799,0.8333488562084814,0.020234615563702412,0.32469773586419204,0.1803781596091868,0.945523190766293,0.8677076376453646,0.021496518828339452,0.021496518828339452,0.08576995765480547,0.01279175878100715
digital-earth-africa,Kenya,0.398103160866918,0.05936199171633411,0.6506704620476144,0.07863432836469746,0.8856612837255073,0.016359554863300506,0.493974985572273,0.19835173595278427,0.965153004156123,0.9077073245369413,0.018347728675815324,0.018347728675815324,0.08576995765480547,0.01279175878100715
esri-lulc,Kenya,0.6244327433540631,0.07960749353077477,0.5833642696684856,0.07765990506835141,0.9341713679573577,0.011944106629697089,0.6032002850747756,0.23574395894865274,0.9611523503853711,0.9670828985039343,0.014886763196525158,0.014886763196525158,0.08576995765480547,0.01279175878100715
copernicus,Rwanda,0.6806659748531425,0.03902005192083583,0.7222547867918614,0.03943030401937774,0.6534980166223043,0.030436255806488677,0.7008439421305382,0.1176289013891102,0.6133684885435328,0.5652886089860121,0.024459819405222568,0.024459819405222568,0.5619644236059437,0.030586081777119502
glad,Rwanda,0.69751207929792,0.04432281849896635,0.5803889180315198,0.045235209186042055,0.6227495953164881,0.03159869358519265,0.6335831678097857,0.13404451066283554,0.5570861950530518,0.6770949381992987,0.02625160506461689,0.02625160506461689,0.5619644236059437,0.030586081777119502
gflfc30,Rwanda,0.6229517669592121,0.043256850119530774,0.6784024818647437,0.041912738220876544,0.5885252147822024,0.03224199726702381,0.6494957467101288,0.12773433763284522,0.5342266311296279,0.47321990783178947,0.017664500414829743,0.017664500414829743,0.5619644236059437,0.030586081777119502
dynamicworld,Rwanda,0.8668911633698648,0.05798160694460635,0.285594680241633,0.04434911557080034,0.5738861909988097,0.03234828632820821,0.42964433095522286,0.13360338041329978,0.5073152017520124,0.9437410187888696,0.029801869349849235,0.029801869349849235,0.5619644236059437,0.030586081777119502
