country,dataset,crop_area,noncrop_area
Rwanda,digital-earth-africa,135650742,120101763
Zambia,dynamicworld,240656604,7534629892
Malawi,gflfc30,11545957,124843533
Uganda,esri-lulc,315638366,2116872459
Uganda,ensemble,628731706,1803794917
Rwanda,esri-lulc,64484027,191268478
Uganda,harvest-dev,560585942,1871933887
Zambia,copernicus,7007890,70743751
Zambia,digital-earth-africa,898947013,6876339483
Rwanda,copernicus,1235703,1321791
Zambia,gflfc30,17418797,846507342
Malawi,digital-earth-africa,378307326,849192521
Malawi,ensemble,218233522,1009267490
Uganda,dynamicworld,121573950,2306915716
Malawi,esri-lulc,136792721,1090707126
Rwanda,glad,10214711,18202303
Kenya,digital-earth-africa,744534349,5122562027
Malawi,copernicus,3242487,9032598
Kenya,ensemble,649516318,5217576026
Rwanda,ensemble,115814007,139939839
Kenya,harvest-dev,450603161,5396257581
Malawi,harvest-dev,450204730,777295117
Malawi,dynamicworld,50822312,1176677535
Tanzania,glad,175025709,883260346
Tanzania,harvest-dev,1975640087,7535296717
Zambia,esri-lulc,281432868,7493853556
Zambia,ensemble,391807990,7383482282
Rwanda,harvest-dev,23822713,27828097
Rwanda,gflfc30,13833417,14583597
Zambia,harvest-dev,527083094,7247910538
Senegal,dynamicworld,252862081,1784745257
Kenya,glad,64818884,587075916
Uganda,gflfc30,94337017,175939127
Kenya,harvest-crop-maps,450603161,5396257581
Rwanda,dynamicworld,27209593,228530854
Tanzania,ensemble,1690438253,7834096304
Kenya,dynamicworld,833896115,5005163690
Kenya,esri-lulc,496380218,5370559130
Uganda,glad,64812838,205463306
Malawi,glad,26837247,109552243
Zambia,glad,47119533,816806606
Uganda,copernicus,6462950,17861926
Kenya,gflfc30,67292501,584602299
Senegal,esri-lulc,208416712,1829190626
Kenya,copernicus,7899554,50771222
Uganda,digital-earth-africa,960553551,1471966278
